,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('28_pendigits', 3, 20)",0.11588855420588803,0.9361289072124985,0.9699412908922935,0.9369231058262588,0.9667865428032891,0.9701082251082251,0.7992460737479261
"('9_census', 1, 5)",0.11490397012317087,0.31117417383806767,0.10077631175488787,0.24527134063933326,0.23483507754856067,0.2218462015993543,0.37994159380214254
"('9_census', 1, 10)",0.11691510798679595,0.2796900623760837,0.12076551713151584,0.25270521953085806,0.25647784352456315,0.28741143657812185,0.45372682532639186
"('9_census', 1, 20)",0.11875798784464814,0.3483142485891429,0.12218631198950454,0.2579449796301713,0.24618551106023942,0.24345886719651583,0.33109193975572976
"('9_census', 2, 5)",0.0528812752171337,0.2581284461314884,0.08854905272257274,0.176302540832957,0.15580517833852228,0.2907695170919965,0.2595156546872882
"('9_census', 2, 10)",0.052992513064529866,0.32037663598261046,0.11147601607875286,0.230922924951354,0.2340083253776009,0.22716310054795488,0.3106488615117762
"('9_census', 2, 20)",0.05307643080120546,0.295456219997301,0.1758547696954424,0.37101858883563354,0.32721425022497846,0.2740271423178582,0.3463859391108209
"('9_census', 3, 5)",0.27960943926007,0.17342316783125605,0.08463877113823151,0.22834956008954452,0.16125137351714633,0.09186417992630745,0.2777290502152159
"('9_census', 3, 10)",0.1774661002434972,0.27124438860405603,0.11393667856077508,0.258933749389905,0.22319647164976983,0.18413361792614713,0.3796815306807017
"('9_census', 3, 20)",0.15380362469540743,0.43368408558146765,0.1346754865267616,0.4026039952988295,0.3591718133173654,0.23809006677273387,0.4580118799131863
"('24_mnist', 1, 5)",0.4974364916011636,0.519796510643623,0.14989772721043557,0.1607368311568625,0.3296785524294096,0.062289810461020806,0.5062978948228798
"('24_mnist', 1, 10)",0.5010193410448907,0.5977586385837141,0.1858899308466319,0.17934470083231824,0.43733767626304065,0.1401028749672415,0.5787108164369967
"('24_mnist', 1, 20)",0.5032461720893082,0.7079249021982423,0.33807638293878145,0.4014603069589806,0.47416041423641175,0.44762882261892123,0.758225096744066
"('24_mnist', 2, 5)",0.48548696645530354,0.5965024961870402,0.15108659571370786,0.11887202353996867,0.28681442339293634,0.5270327249079454,0.47180606489685684
"('24_mnist', 2, 10)",0.4620333569514673,0.5354026741286254,0.17558517115630634,0.35117359351547595,0.38229872764062933,0.10058913169913802,0.5584603651837112
"('24_mnist', 2, 20)",0.5136263481416468,0.5818107372498896,0.2749071816783428,0.17736340048042726,0.46591296745960986,0.3317634043131567,0.7145579257903981
"('24_mnist', 3, 5)",0.36782495752395716,0.6177193678674713,0.17081346192179617,0.2697002668049079,0.3317631210586907,0.1492459779923865,0.7313917218698825
"('24_mnist', 3, 10)",0.3547522415687016,0.5831650084357878,0.2486191273195809,0.2030214077198483,0.5099476452070447,0.09747829901492802,0.7892643007047246
"('24_mnist', 3, 20)",0.3595132581930294,0.6269122429142128,0.41567436262991025,0.24815786166879364,0.5530581480298166,0.30154553667263895,0.8037094192754147
"('36_speech', 1, 5)",0.01921683699224029,0.19419814611438918,0.04798433487647817,0.0958169435608654,0.10562103715127415,0.1519481541702544,0.10411183988124618
"('36_speech', 1, 10)",0.019149874922955237,0.1720627132022642,0.048901269626587765,0.08545225285521499,0.09309206107133958,0.05823726718843735,0.05454589049671017
"('36_speech', 1, 20)",0.019476801172642656,0.18564462420305186,0.0933234954375597,0.16858905204468522,0.17689593747157178,0.1094593926076918,0.09615529128568406
