,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('11_donors', 1, 20)",0.8439999108952798,0.9967254015281459,0.9975050678309683,0.9972377536700007,0.9979060390724198,0.9999554476398388,0.9916909848299215
"('11_donors', 2, 5)",0.5283270575578268,0.9920602474448628,0.9712748789671867,1.0,0.9983001613770845,0.9998278644432491,0.9237439483593329
"('11_donors', 2, 10)",0.568929532006455,0.9976761699838623,0.9886605701990318,1.0,0.9982140935987089,0.9988811188811189,0.9611619150080688
"('11_donors', 2, 20)",0.45615922538999465,0.9994405594405595,0.9974394835933298,1.0,0.9995696611081226,0.9996126949973104,0.9944055944055944
"('11_donors', 3, 5)",0.7559936692784149,0.9958576759999218,0.9578733464897713,0.9978311416792044,0.9821020340373982,0.9989839582641318,0.9494323843764043
"('11_donors', 3, 10)",0.7717423161843725,0.9887649231129956,0.9854432482072725,0.9999609214716974,0.9972254244905137,1.0,0.9561929697727584
"('11_donors', 3, 20)",0.7615818988256903,0.9962484612829481,0.9932980323960999,0.999882764415092,0.9983587018112898,0.9995701361886711,0.9861466617167197
"('28_pendigits', 1, 5)",0.7450300269206875,0.9987575067301719,0.9935804514392214,0.9996893766825429,0.999378753365086,0.999585835576724,0.9893870366535514
"('28_pendigits', 1, 10)",0.7378339200662662,0.9969455373783391,0.9990163594947193,0.99896458894181,0.9997929177883619,0.998861047835991,0.9986539656243529
"('28_pendigits', 1, 20)",0.7381963139366329,0.9987575067301718,0.9999482294470904,0.999896458894181,0.9995340650238144,1.0,0.9983433423068958
"('28_pendigits', 2, 5)",0.607009732863947,0.9721992130875958,0.958376475460758,0.9900082832884655,0.9936322219921309,0.901584178919031,0.9628805135638848
"('28_pendigits', 2, 10)",0.6021950714433629,0.9710602609235867,0.9710602609235867,0.9879892317249948,0.9872644439842617,0.9885069372540898,0.9834851936218678
"('28_pendigits', 2, 20)",0.5898736798509008,0.9932698281217645,0.9968937668254296,0.9952371091323255,0.9955995030026921,0.9977220956719818,0.9937357630979499
"('28_pendigits', 3, 5)",0.6913957341064403,0.9957030441085111,0.994253468627045,0.9985504245185338,0.9993269828121765,0.9990163594947193,0.9680834541312902
"('28_pendigits', 3, 10)",0.6950196728101056,0.9964796024021536,0.9986539656243528,0.9982915717539863,0.9986539656243529,0.9529405674052598,0.9511803686063368
"('28_pendigits', 3, 20)",0.7054255539449161,0.9980844895423483,0.9992234417063575,0.9983433423068958,0.9991199006005385,0.9988092772830814,0.9907330710291986
"('9_census', 1, 5)",0.7143867973611371,0.8709704272543756,0.6019645793011592,0.6865205718923644,0.6605689787933654,0.7034817173419908,0.8770160870741504
"('9_census', 1, 10)",0.7184449855362011,0.8721150444319576,0.6571559384820296,0.7643961624107719,0.6888514286903499,0.704917691619321,0.9079935901438055
"('9_census', 1, 20)",0.7214626126407359,0.8757778194002206,0.6755530582089864,0.8166739505941604,0.7478720526107676,0.7809618946535971,0.8656011321304447
"('9_census', 2, 5)",0.41801587301587295,0.8258333333333332,0.6330952380952382,0.6781944444444445,0.599047619047619,0.7079960317460318,0.8048015873015874
"('9_census', 2, 10)",0.4195238095238095,0.8407142857142857,0.666468253968254,0.6408333333333334,0.7049206349206351,0.7198214285714285,0.8494345238095238
"('9_census', 2, 20)",0.4204960317460318,0.8515873015873017,0.7323214285714286,0.829563492063492,0.7805952380952381,0.7654365079365079,0.8797222222222223
"('9_census', 3, 5)",0.8624317297809306,0.7796005562385377,0.6087184344706664,0.7251657631149357,0.6146234305407202,0.4357201878312743,0.8500574376750842
"('9_census', 3, 10)",0.7995727443116549,0.8446764344303593,0.648078357080957,0.7137789959491323,0.7084584534150226,0.6069449202926298,0.8835728249259356
"('9_census', 3, 20)",0.7647473749974808,0.893931760011286,0.6703480521574396,0.820068925210101,0.7669038070094116,0.718212781394224,0.9070517342147162
