Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Chemistry', 1, 20)",0.9999999999999998,0.953723862344552,0.9999999999999998,0.9190237420822652,0.9999999999999998,0.6903780949664959,1.0
"('Chemistry', 1, 5)",0.9999999999999998,0.4511401711507488,0.3465407634744105,0.2718877456804033,0.9999999999999998,0.5044680615223152,1.0
"('Chemistry', 2, 10)",1.0,0.8275775755994826,0.6243124421770981,0.2486242848502448,0.0303647226680934,0.5336749791178335,1.0
"('Chemistry', 2, 20)",1.0,0.7314023822841239,1.0,0.9365511730669942,1.0,0.56502924860473,1.0
"('Chemistry', 2, 5)",1.0,0.5994114309503846,0.1677563783172554,0.0391163767127378,1.0,0.3147167085324749,0.9846774193548388
"('Chemistry', 3, 10)",0.8802684801294368,0.4907187065168406,0.9999999999999998,0.0683102180570371,0.9999999999999998,0.1790576410557373,1.0
"('Chemistry', 3, 20)",0.3092919261915499,0.8414646445040268,0.9999999999999998,0.7837615463258281,0.9999999999999998,0.3820729369406588,1.0
"('Chemistry', 3, 5)",0.572397849778111,0.7043528118966156,0.960838987856254,0.2796617911976345,0.9468061124621844,0.3350547581984185,1.0
"('Document', 1, 10)",0.294285586497385,0.39841186351628943,0.24307880508423155,0.7064170558040027,0.6236068041730514,0.6451114302021101,0.7002392524890484
"('Document', 1, 20)",0.2906778309734662,0.3974898570431542,0.24479808467039343,0.567246028288074,0.5103313031164597,0.6843396046668222,0.7927702996064335
"('Document', 1, 5)",0.2915042664483216,0.3921493467465956,0.2389012597179536,0.6312706106337538,0.5322143271213448,0.47087835189777727,0.6126221715225488
"('Document', 2, 10)",0.30222469816189435,0.39294032052006234,0.24377191630519274,0.6764177717528848,0.6435036109361175,0.6299815710550873,0.6034870889096366
"('Document', 2, 20)",0.29868621573165427,0.37994343523233676,0.25130508151081654,0.5095818673721018,0.6396521258094858,0.7061910400807767,0.6964492051120841
"('Document', 2, 5)",0.3062750256648463,0.39377077380290604,0.2428193225149043,0.5011871581562276,0.4420778838417698,0.6247910009994554,0.6653284317560804
"('Document', 3, 10)",0.31720546539069416,0.3738484860652116,0.22301448220200965,0.5162674192881398,0.7178315362384204,0.6816671513798266,0.6441954283799427
"('Document', 3, 20)",0.32522891987791147,0.3707887704817391,0.22472219866175414,0.7369212128435585,0.7434950698518771,0.6259945593741401,0.7395885621867463
