Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Physical', 2, 20)",0.5623519670547681,0.5681870780491343,0.4486783687781695,0.5490884446739609,0.45489139835508074,0.5541935314098779,0.5174506693224248,0.5804364905657041,0.4255345665710032,0.464171595970859
"('Physical', 2, 5)",0.4515304928526799,0.38516782696215346,0.3098960424070681,0.4716764842875146,0.37239247638629824,0.42324154840571426,0.4549917176528119,0.4783984487563001,0.3824216386166548,0.4175122555732626
"('Physical', 3, 10)",0.5381251686885751,0.5409700981286507,0.44145019361562915,0.5292981062670647,0.4401046690590353,0.5115311993640698,0.49354166095726404,0.5535741788847551,0.3430062273005555,0.43909630998953675
"('Physical', 3, 20)",0.5700302686930147,0.5483045094061698,0.4602423744393514,0.5268772919642795,0.5046876646042998,0.5153425442850889,0.5343484618626038,0.5857541855762414,0.4122772181610018,0.48501584769153216
"('Physical', 3, 5)",0.4209301936415516,0.48422061530627075,0.4189901040017279,0.4840073714752907,0.40333246924147637,0.45234557780124207,0.46232767978470585,0.4808104447089546,0.36246833735173595,0.42251905288663427
"('Physics', 1, 10)",0.2463957062408361,0.5061196473596669,0.6222339675069671,0.5428818458225555,0.4726099227569815,0.413853110929428,0.5255618210478765,0.6074719784753831,0.2767746838686718,0.271693587481138
"('Physics', 1, 20)",0.3618501303982732,0.488054050670243,0.7137530233441683,0.6277047811057185,0.5861112208768933,0.6924930483219816,0.6782547081551892,0.7056605189218649,0.5271064526468023,0.4214890381952253
"('Physics', 1, 5)",0.239545578021701,0.3958659186826894,0.3918273585359021,0.2949292256005269,0.09308207272823,0.2427032398845081,0.228099795931829,0.2400147497919211,0.3120678739884418,0.1646756759621317
"('Physics', 2, 10)",0.2650660024712428,0.1165500018243719,0.2538847355157378,0.2684129360096621,0.0859202598418284,0.0890497619366686,0.0881047885506235,0.1847466798620791,0.2411010305097826,0.2188471542204549
"('Physics', 2, 20)",0.2340897526472196,0.1625262331197624,0.4245342340638152,0.4196068639473721,0.4446326800611344,0.3661731110931113,0.4148108040890537,0.5159391503189638,0.3226608732579614,0.3746855542111296
"('Physics', 2, 5)",0.1302737145091734,0.0477758707771524,0.0181148983336141,0.1665536302270159,0.0465671580164333,0.0943138858316117,0.0874030366619642,0.1018096559738136,0.1221761609147186,0.0720129248296345
"('Physics', 3, 10)",0.2400681498472382,0.2047605050216488,0.3285192244150351,0.3308874728801532,0.1935550926216988,0.3123722149457148,0.2916594429238084,0.334081958156123,0.3125445361850952,0.3175125314732138
"('Physics', 3, 20)",0.229287172391762,0.1773130840879281,0.4188387532961766,0.4820009509209478,0.3049790487543766,0.4561475559656882,0.4027045490448668,0.5128328513687973,0.3229718797910187,0.5525629952777722
"('Physics', 3, 5)",0.1598369899098627,0.3016308069214069,0.3140230101296929,0.2933489853561443,0.1612967904395303,0.1086014786102669,0.1415985619805514,0.2066115258436463,0.1957595088859146,0.1318360314378535
"('Sociology', 1, 10)",0.6817375780263067,0.4655812093125896,0.1373995985213497,0.4316942348395558,0.4491016052456784,0.5865722694841177,0.579199031740621,0.5711772006523216,0.5038774786570465,0.6262145175529277
"('Sociology', 1, 20)",0.6587287553886642,0.4644222738383107,0.620057305829679,0.518340319298452,0.5643110538066248,0.5726618856632744,0.5533841598935683,0.6202943111395408,0.5427510092200576,0.5702221236572848
"('Sociology', 1, 5)",0.6641796287449031,0.3705312810327706,0.1250864218426106,0.29474683790029005,0.2676250108072857,0.43013395465453297,0.4907317347923431,0.5689600512267674,0.4407818302111617,0.6578933643122905
"('Sociology', 2, 10)",0.6255768342221751,0.4979292929292929,0.5830888275650112,0.5347180590060566,0.44209445436639006,0.49164046488489993,0.4868604368408531,0.6135196863574188,0.538446456533779,0.605687803469821
"('Sociology', 2, 20)",0.6898618453840157,0.5063971575112646,0.5711069533285562,0.6567974029712843,0.5917793021611544,0.6026765078369776,0.6305693323131512,0.6717883390557421,0.5419531127951329,0.6487579652820028
"('Sociology', 2, 5)",0.6050312205190439,0.48570707070707064,0.10263406954267335,0.40535099994621765,0.2511848314068269,0.33947494406849144,0.37997501979154324,0.5444183382888121,0.32678887707287435,0.5478441182430723
"('Sociology', 3, 10)",0.6298230582309947,0.4932660425616803,0.615859408921881,0.49956147962711606,0.38166279763486605,0.4408547079628371,0.46417769757630056,0.5751273331411818,0.4579196904384757,0.5597444177534749
"('Sociology', 3, 20)",0.6864992717105824,0.5202182523105002,0.6397303825914723,0.6425306926036303,0.5082183358008827,0.6122472813768042,0.5806651577487199,0.6794435867182222,0.548135889652502,0.610505436873793
"('Sociology', 3, 5)",0.6052924766286085,0.44194066252971503,0.46677598356593136,0.204067384349237,0.288366117494511,0.3155061668766469,0.3797619804146092,0.4765056076014143,0.2840348767496839,0.5945081807810553
