Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Image', 3, 5)",0.5904817887249515,0.799285729064835,0.7685226153909667,0.7423296322949172,0.725344104749817,0.7387054326669601,0.8546991450637416
"('Linguistics', 1, 10)",0.498995515769195,0.8523985966059774,0.7993103881180617,0.7643594903783606,0.8157306276046692,0.8347031637573001,0.753837385984288
"('Linguistics', 1, 20)",0.49595741254029857,0.9096912685052146,0.8214550920167557,0.8384484257611173,0.8748464228017128,0.8750968150658003,0.8288919366051196
"('Linguistics', 1, 5)",0.5060984332668539,0.8456761037900395,0.7757415377288356,0.7663477845567683,0.819330823379297,0.8133910381505864,0.7398558630524757
"('Linguistics', 2, 10)",0.6028560973215162,0.8059372015601431,0.7037618371846021,0.820224471398863,0.8060960719736525,0.8197016270829428,0.797419159057845
"('Linguistics', 2, 20)",0.6083461411447595,0.7848607206290554,0.7348894601083532,0.8024456225845895,0.803134566810364,0.8504783070483127,0.787324372327987
"('Linguistics', 2, 5)",0.6041868601672602,0.8410722860381468,0.6593432761221338,0.8092320668326772,0.792165725047081,0.7502734713185352,0.8440644942476414
"('Linguistics', 3, 10)",0.45607741808802127,0.7600811310145393,0.715636418810971,0.7157617300809525,0.6866552422773806,0.7781396096071973,0.7606517257075536
"('Linguistics', 3, 20)",0.44929641827545275,0.8434930070242144,0.7415358663346454,0.7286869985094742,0.7590594514508082,0.7618586945850181,0.8259887898180132
"('Linguistics', 3, 5)",0.455315286368383,0.6746975660695638,0.6574902044787175,0.7403562088878177,0.7243538526075277,0.555053596451299,0.6596760114600905
"('Network', 1, 10)",0.9921518264840182,0.9921518264840182,0.9809265601217656,1.0,1.0,0.9992865296803654,0.9623287671232876
"('Network', 1, 20)",0.9922945205479452,0.99191400304414,0.9993340943683408,1.0,1.0,1.0,0.9826388888888888
"('Network', 1, 5)",0.992199391171994,0.9996194824961948,0.9698439878234398,1.0,1.0,1.0,0.9733637747336378
"('Network', 2, 10)",0.8574238972872231,0.9304203768896252,0.9624145785876992,0.98534893352661,0.9628287430109752,0.9468834127148478,0.9599554773244978
"('Network', 2, 20)",0.8588217022157797,0.907330710291986,0.9661938289500932,0.9765997100849038,0.9582211638020294,0.9600849037067716,0.947478774073307
"('Network', 2, 5)",0.8572685856284945,0.9294367363843448,0.958376475460758,0.9621557258231518,0.9567715883205634,0.9292296541727066,0.9316369848829984
"('Network', 3, 10)",0.8842410436943466,0.9351832677572997,0.9578587699316627,0.9357527438393042,0.8851211430938083,0.9898012010768276,0.957962311037482
"('Network', 3, 20)",0.8840339614827086,0.9216193828950092,0.973027541934148,0.9325947401118244,0.9099710084903708,0.970283702629944,0.939764961689791
"('Network', 3, 5)",0.8833091737419756,0.9213087595775524,0.8122799751501346,0.9857113273969766,0.9524746324290744,0.8338682957133983,0.8941033340236074
"('Physical', 1, 10)",0.4903740277597668,0.6730385663830496,0.7108417573622805,0.6415702220236845,0.6024890947125296,0.5942015338582395,0.6670736552367463
"('Physical', 1, 20)",0.4868182793201796,0.6993761009892754,0.7133672926269841,0.7006768618986743,0.6805156631164515,0.6694026510831395,0.7237470832804407
"('Physical', 1, 5)",0.48953586289260054,0.6835570359984193,0.7110635398457228,0.5742445798272862,0.5612493429061995,0.5477168933081022,0.6122208886236304
"('Physical', 2, 10)",0.566147549273782,0.615452726868617,0.6717358946869065,0.5959508520022426,0.5948310223874087,0.5593868065129955,0.6847440530002237
"('Physical', 2, 20)",0.5680928355530934,0.638054770668993,0.6928768625828265,0.6819003350815847,0.6644686042060918,0.6084913954908718,0.7156874785599485
"('Physical', 2, 5)",0.5683168773266913,0.6345059699038168,0.6637266930799868,0.5334282370564496,0.5328368312867146,0.5384190937538255,0.5835361575259452
"('Physical', 3, 10)",0.514384367935826,0.6790743821089108,0.6944516154007181,0.5933368514154203,0.6144116087860968,0.6270150595239119,0.6545881993163756
"('Physical', 3, 20)",0.5190333375219396,0.6506342001607935,0.7140152714005861,0.641788948084259,0.6570845053529522,0.6377719778752649,0.6932538317560328
"('Physical', 3, 5)",0.5160425716667059,0.671112097522102,0.6906076882958482,0.5530914881082674,0.5579851595202687,0.551425280421391,0.5725013221570923
"('Physics', 1, 10)",0.7224979848118451,0.902380043273514,0.7558864706631029,0.8255059182894234,0.8515124517415467,0.818802766110899,0.9393322302829747
"('Physics', 1, 20)",0.7167706079504476,0.8795129608417123,0.79292350770014,0.8577065037546137,0.8732764838148572,0.8643248059055619,0.9146832972720716
